RECNO	D	NEW	E	SOC	SOC2000	INDEXOCC	IND	ADD	SEE
24653				899	8129	Trimmer	(metal trades: gold, silver wire mfr)		
24654				841	8125	Trimmer	(metal trades: needle mfr)		
24655				841	8125	Trimmer	(metal trades: tin box mfr)		
24656				554	5412	Trimmer	(metal trades: vehicle body building)		
24657				554	5412	Trimmer	(metal trades: vehicle mfr)		
24658	I			843	8125	Trimmer	(metal trades)		
24659				500	5312	Trimmer	(mine: not coal)		
24660				825	8116	Trimmer	(plastics mfr)		
24661				599	5499	Trimmer	(powder puff mfr)		
24662				990	9139	Trimmer	(power station)		
24663				554	5412	Trimmer	(railway workshops)		
24664				824	8115	Trimmer	(rubber mfr)		
24665				880	8217	Trimmer	(shipping)		
24666				552	8113	Trimmer	(textile mfr)		
24667				552	8113	Trimmer and finisher	(hosiery, knitwear mfr)		
24668				953	9223	Trolleyman, refreshments			
24669	O			889	9139	Trolleyman			
24670				385	3415	Trombonist			
24671				899	8129	Trouncer	(metal trades)		
24672				887	8229	Trucker			
24673				889	9139	Truckman	(blast furnace)		
24674				889	8122	Truckman	(coal mine)		
24675				872	8211	Truckman	(road transport)		
24676				899	8129	Truer, wheel	(cycle mfr)		
24677				899	8129	Truer-up, wheel	(cycle mfr)		
24678				582	5433	Trusser, fowl			
24679				902	9119	Trusser	(farming)		
24680		*		582	5433	Trusser	(poultry dressing)		
24681				860	8133	Tryer	(metal and electrical goods mfr)		
24682				810	8114	Tubber	(leather dressing)		
24683				534	5214	Tuber, engine	(railways)		
24684				812	8113	Tuber, mule			
24685				833	8117	Tuber, wire	(wire mfr)		
24686				534	5214	Tuber	(boiler mfr)		
24687				534	5214	Tuber	(locomotive mfr)		
24688				814	8113	Tuber	(rope, twine mfr)		
24689				814	8113	Tuber	(textile mfr)		
24690				833	8117	Tuber	(wire mfr)		
24691				552	8113	Tucker	(blanket mfr)		
24692				553	5419	Tucker	(clothing mfr)		
24693				814	8113	Tucker	(textile mfr)		
24694				814	8113	Tufter	(carpet, rug mfr)		
24695				559	5419	Tufter	(mattress, upholstery mfr)		
24696				559	5419	Tufter	(soft furnishings mfr)		
24697				880	8217	Tugboatman			
24698				880	8217	Tugman			
24699				842	8125	Tumbler	(metal trades)		
24700			S	516	5223	Tuner, head			
24701				516	5223	Tuner		(looms)	
24702				593	5494	Tuner		(musical instruments)	
24703				525	5244	Tuner		(television)	
24704				540	5231	Tuner		(vehicles)	
24705				516	5223	Tuner	(textile mfr)		
24706				597	8122	Tunneller	(coal mine)		
24707	I			509	8149	Tunneller			
24708				929	9129	Tupper	(building and contracting)		
24709				839	8117	Tupper	(steel mfr)		
24710				892	8126	Turncock			
24711				599	5499	Turner, asbestos			
24712				510	5221	Turner, axle			
24713				825	8116	Turner, ball, billiard			
24714				510	5221	Turner, band, copper			
24715				899	8129	Turner, belt	(coal mine)		
24716				800	8111	Turner, biscuit			
24717				897	8121	Turner, block, wood			
24718				510	5221	Turner, bobbin		(metal)	
24719	A			897	8121	Turner, bobbin			
24720				510	5221	Turner, boss, centre			
24721				897	8121	Turner, bowl	(tobacco pipe mfr)		
24722				840	8125	Turner, brass			
24723				510	5221	Turner, bush, axle			
24724				899	8129	Turner, button			
24725				510	5221	Turner, capstan			
24726				559	5419	Turner, collar			
24727				510	5221	Turner, commutator			
24728				899	8129	Turner, conveyor	(coal mine)		
24729				839	8117	Turner, core			
24730				599	5499	Turner, cork			
24731				897	8121	Turner, counter			
24732				510	5221	Turner, crank			
24733				510	5221	Turner, crankshaft			
24734				510	5221	Turner, cutter			
24735				510	5221	Turner, die			
24736				824	8115	Turner, ebonite			
24737				518	5495	Turner, engine, rose			
24738				518	5495	Turner, engine	(jewellery, plate mfr)		
24739	M			510	5221	Turner, engine			
24740				510	5221	Turner, engraver's			
24741				899	8129	Turner, frame	(shipbuilding)		
24742				510	5221	Turner, general			
24743				559	5419	Turner, glove			
24744				899	8129	Turner, graphite			
24745				510	5221	Turner, gun			
24746				510	5221	Turner, hand	(metal trades)		
24747				897	8121	Turner, handle			
24748				897	8121	Turner, heel		(wood heels)	
24749				599	5499	Turner, ivory			
24750				510	5221	Turner, lathe, capstan			
24751				510	5221	Turner, lathe, centre			
24752				510	5221	Turner, lathe, cnc			
24753				510	5221	Turner, lathe, nc			
24754				510	5221	Turner, lathe, turret			
24755				510	5221	Turner, lathe	(metal trades)		
24756				510	5221	Turner, locomotive			
24757				510	5221	Turner, loom			
24758				590	5491	Turner, machine, pottery			
24759				510	5221	Turner, maintenance			
24760				510	5221	Turner, marine			
24761				897	8121	Turner, mould, fringe			
24762				510	5221	Turner, mould	(glass mfr)		
24763				840	8125	Turner, optical			
24764				897	8121	Turner, pipe	(tobacco pipe mfr)		
24765	I			532	5216	Turner, pipe			
24766				897	8121	Turner, pirn			
24767				590	5491	Turner, porcelain, electric			
24768				510	5221	Turner, ring			
24769				897	8121	Turner, rod		(fishing rods)	
24770				510	5221	Turner, roll			
24771				510	5221	Turner, roller		(metal)	
24772				824	8115	Turner, roller		(rubber)	
24773				897	8121	Turner, roller		(wood)	
24774				510	5221	Turner, roller	(textile machinery mfr)		
24775				510	5221	Turner, room, tool			
24776				510	5221	Turner, rough			
24777				824	8115	Turner, rubber			
24778				912	9139	Turner, sheet	(galvanised sheet mfr)		
24779				869	8139	Turner, sheet	(rolling mill)		
24780				840	8125	Turner, shell			
24781				897	8121	Turner, shive			
24782				555	5413	Turner, slipper			
24783				897	8121	Turner, spiral			
24784				897	8121	Turner, spool			
24785				510	5221	Turner, textile			
24786				510	5221	Turner, tool			
24787				510	5221	Turner, tube, steel			
24788				510	5221	Turner, tyre		(metal)	
24789				510	5221	Turner, valve			
24790				824	8115	Turner, vulcanite			
24791				599	5499	Turner, wheel	(abrasives mfr)		
24792				919	9139	Turner, wheel	(ceramics mfr)		
24793				510	5221	Turner, wheel	(metal trades)		
24794				899	8129	Turner, wire			
24795				897	8121	Turner, wood			
24796				510	5221	Turner		(metal)	
24797				825	8116	Turner		(plastics)	
24798				824	8115	Turner		(rubber)	
24799				500	5312	Turner		(stone)	
24800				897	8121	Turner		(wood)	
24801				599	8119	Turner	(asbestos-cement goods mfr)		
24802				801	8111	Turner	(brewery)		
24803				559	5419	Turner	(canvas goods mfr)		
24804				899	8129	Turner	(cemented carbide goods mfr)		
24805				590	5491	Turner	(ceramics mfr)		
24806				559	5419	Turner	(clothing mfr)		
24807				510	5221	Turner	(coal mine)		
24808				555	5413	Turner	(footwear mfr)		
24809				559	5419	Turner	(hosiery, knitwear mfr)		
24810				810	8114	Turner	(leather dressing)		
24811				510	5221	Turner	(metal trades)		
24812				825	8116	Turner	(plastics goods mfr)		
24813				518	5495	Turner	(precious metal, plate mfr)		
24814				560	5421	Turner	(process engraving)		
24815				824	8115	Turner	(rubber goods mfr)		
24816				500	5312	Turner	(stone dressing)		
24817				897	8121	Turner	(wood products mfr)		
24818				897	8121	Turner	(woodwind instruments mfr)		
24819	M	*		510	5221	Turner			
24820				516	5223	Turner and fitter			
24821				559	5419	Turner-down	(glove mfr)		
24822				510	5221	Turner-engineer			
24823				516	5223	Turner-fitter			
24824				869	8139	Turner-in	(steel mfr)		
24825				590	5491	Turner-out	(glass mfr)		
24826				869	8139	Turner-over	(rolling mill)		
24827				869	8139	Turner-up	(rolling mill)		
24828				612	3314	Turnkey			
24829		*		387	3449	Tutor, bound, outward			
24830		*		230	2311	Tutor, course	(higher education, university)		
24831		*		392	3564	Tutor, guidance, graduate			
24832		*		239	2319	Tutor, home			
24833			S	341	3212	Tutor, midwife			
24834		*		235	2316	Tutor, needs, special			
24835				239	2319	Tutor, private			
24836		*		239	3443	Tutor, yoga			
24837		*		239	2319	Tutor		(private)	
24838		*		235	2316	Tutor		(special needs)	
24839		*		239	2319	Tutor	(adult education centre)		
24840		*		239	2319	Tutor	(evening institute)		
24841				231	2312	Tutor	(further education)		
24842				230	2311	Tutor	(higher education, university)		
24843			S	340	3211	Tutor	(hospital service)		
24844		*		233	2314	Tutor	(secondary school)		
24845		*		233	2314	Tutor	(sixth form college)		
24846	M	*		}}}	}}}}	Tutor			- see also notes
24847				813	8113	Twinder			
24848				812	8113	Twiner	(textile mfr)		
24849				812	8113	Twiner-joiner-minder			
24850				812	8113	Twister, cap	(textile mfr)		
24851				812	8113	Twister, cop			
24852				812	8113	Twister, cotton			
24853				812	8113	Twister, doubling			
24854				812	8113	Twister, false			
24855				812	8113	Twister, fly			
24856				829	8119	Twister, gut			
24857				814	8113	Twister, machine			
24858				812	8113	Twister, patent			
24859				812	8113	Twister, ring			
24860				812	8113	Twister, silk			
24861				812	8113	Twister, single			
24862				812	8113	Twister, spinning			
24863				812	8113	Twister, sprig			
24864				809	8111	Twister, sugar, barley			
24865				825	8116	Twister, tube			
24866				814	8113	Twister, twine			
24867				552	8113	Twister, warp			
24868				841	8125	Twister, wire, hat			
24869				812	8113	Twister, wool			
24870				812	8113	Twister, worsted			
24871				812	8113	Twister, yarn			
24872				899	8129	Twister	(broom, brush mfr)		
24873				814	8113	Twister	(textile mfr: rope, cord, twine mfr)		
24874	I			812	8113	Twister	(textile mfr)		
24875				552	8113	Twister and drawer			
24876				552	8113	Twister-in	(textile mfr)		
24877				552	8113	Twister-on	(textile mfr)		
24878				552	8113	Twister-up	(textile mfr)		
24879				}}}	}}}}	Tyer			- see Tier
24880				}}}	}}}}	Tyer-on			- see Tier-on
24881				}}}	}}}}	Tyer-up			- see Tier-up
24882				385	3415	Tympanist			
24883				569	8139	Typer	(textile mfr)		
24884				452	4217	Typist, audio			
24885				452	4217	Typist, copy			
24886				452	4217	Typist, shorthand			
24887			S	452	4217	Typist, superintendent			
24888				560	5421	Typist, vari			
24889	O			452	4217	Typist			
24890				420	4217	Typist-clerk	(college)		
24891				420	4217	Typist-clerk	(schools)		
24892				420	4217	Typist-clerk	(university)		
24893	I			430	4217	Typist-clerk			
24894		*		452	4217	Typist-receptionist			
24895				560	5421	Typographer			
24896				530	5211	Tyreman	(railways)		
24897				342	3214	Ultrasonographer			
24898				387	3442	Umpire		(sports)	
24899				839	8117	Uncoiler	(tinplate mfr)		
24900				552	8113	Uncurler	(textile mfr)		
24901				}}}	}}}}	Under-manager			- see Manager ( )
24902		*		509	5319	Underpinner			
24903				673	9234	Underpresser			
24904				596	5234	Undersealer		(vehicles)	
24905				384	3413	Understudy			
24906				690	6291	Undertaker			
24907		*		361	3533	Underwriter, insurance			
24908	O			361	3533	Underwriter			
24909				889	9139	Unloader, autoclave		(ceramics)	
24910				889	9139	Unloader, kiln		(ceramics)	
24911				930	9141	Unloader	(docks)		
24912	M			931	9149	Unloader			
24913				839	8117	Unreeler	(steel mfr)		
24914				813	8113	Unwinder			
24915				554	5412	Upholsterer			
24916				220	2211	Urologist			
24917				699	9249	Usher, court			
24918	O			699	9226	Usher			
24919				699	9226	Usherette			
24920				902	9119	Vaccinator		(poultry)	
24921		*		958	9233	Valet		(vehicles)	
24922	A			670	6231	Valet			
24923				958	9233	Valeter, car			
24924		*		958	9233	Valeter		(vehicles)	
24925				360	3531	Valuer			
24926				516	5223	Valveman, hydraulic			
24927				899	8129	Valveman	(cartridge mfr)		
24928				999	9139	Valveman	(coal gas, coke ovens)		
24929				516	5223	Valveman	(steelworks)		
24930				892	8126	Valveman	(water works)		
24931				569	9133	Valver			
24932				555	5413	Vamper			
24933				821	8121	Varnisher, paper			
24934				596	5499	Varnisher, spray			
24935				821	8121	Varnisher	(wallpaper mfr)		
24936	M			869	8139	Varnisher			
24937				801	8111	Vatman	(brewery)		
24938				801	8111	Vatman	(cider mfr)		
24939				821	8121	Vatman	(paper mfr)		
24940				809	8111	Vatman	(soft drinks mfr)		
24941				801	8111	Vatman	(vinegar mfr)		
24942				834	8118	Vatman	(wire mfr)		
24943				899	8129	Veiner			
24944				899	8129	Veiner and marker	(artificial flower mfr)		
24945				559	5419	Velourer			
24946				731	7123	Vendor, cream, ice			
24947				178	1234	Vendor, horsemeat			
24948				731	7123	Vendor, ice-cream			
24949		*		732	7124	Vendor, market			
